Index,Airline,CO2/Mt,NOx/kt,CO/kt,HC/kt
0,China Southern Airlines,1.444,7.48,1.186,0.11
1,China Eastern Airlines,1.28,6.45,1.201,0.1086
2,Air China,1.017,5.13,1.01,0.0824
3,Shenzhen Airlines,0.425,2.08,0.381,0.0361
4,Hainan Airlines,0.527,2.69,0.343,0.0279
5,Sichuan Airlines,0.403,2.09,0.365,0.0331
6,Xiamen Airlines,0.376,1.91,0.254,0.0239
7,Shandong Airlines,0.269,1.34,0.191,0.0188
8,Juneyao Airlines,0.189,0.93,0.17,0.0146
9,Tianjin Airlines,0.132,0.59,0.157,0.0132
10,China Express Airlines,0.106,0.55,0.118,0.0124
11,Zhejiang Loong Airlines,0.161,0.83,0.159,0.0161
12,Chengdu Airlines,0.132,0.64,0.146,0.0138
13,Shanghai Airlines,0.151,0.75,0.149,0.0144
14,Beijing Capital Airlines,0.179,0.92,0.172,0.0164
15,China United Airlines,0.158,0.8,0.112,0.0105
16,Spring Airlines,0.135,0.65,0.148,0.0147
17,Lucky Air,0.129,0.63,0.109,0.0101
18,China West Air,0.1,0.49,0.102,0.0094
19,Tibet Airlines,0.063,0.26,0.073,0.0039
20,Qingdao Airlines,0.063,0.3,0.063,0.0058
21,Hebei Airlines,0.06,0.3,0.044,0.0045
22,Ruili Airlines,0.055,0.27,0.05,0.0049
23,Kunming Airlines,0.066,0.33,0.046,0.0045
24,Okay Airways,0.053,0.26,0.05,0.0049
25,9 Air,0.057,0.28,0.041,0.004
26,Donghai Airlines,0.051,0.26,0.038,0.0038
27,Guangxi Beibu Gulf Airlines,0.041,0.18,0.052,0.0045
28,Colorful Guizhou Airlines,0.052,0.32,0.039,0.0046
29,Fuzhou Airlines,0.046,0.23,0.031,0.003
30,Air Travel,0.039,0.2,0.036,0.0034
31,Jiangxi Air,0.03,0.15,0.023,0.0022
32,Urumqi Air,0.043,0.21,0.029,0.0029
33,Air Changan,0.029,0.14,0.022,0.0021
34,Dalian Airlines,0.03,0.14,0.025,0.0021
35,Air China Inner Mongolia,0.027,0.13,0.021,0.0021
36,Air Guilin,0.025,0.11,0.028,0.0024
37,Suparna Airlines,0.029,0.14,0.021,0.002
38,OTT Airlines,0.012,0.06,0.014,0.0016
39,Joy Air,0.013,0.07,0.01,0.001
40,LongJiang Airlines,0.014,0.07,0.012,0.0013
41,Genghis Khan Airlines,0.004,0.02,0.005,0.0005
42,Beijing Airlines,0.006,0.03,0.005,0.0005
43,Grand China Air,0.006,0.03,0.005,0.0005
