index,Airport,CO2,NOx,CO,HC,Phase
0,AAT,81.43,0.55,0.021,0.0018,takeoff
1,ACF,10.64,0.07,0.003,0.0004,takeoff
2,ACX,293.3,2.06,0.088,0.0087,takeoff
3,AEB,38.82,0.25,0.011,0.0012,takeoff
4,AHJ,10.9,0.06,0.005,0.0001,takeoff
5,AKA,71.33,0.5,0.02,0.0024,takeoff
6,AKU,437.74,2.81,0.133,0.0111,takeoff
7,AQG,151.13,1,0.048,0.0045,takeoff
8,AVA,13.75,0.1,0.004,0.0005,takeoff
9,AXF,23.13,0.11,0.011,0.0004,takeoff
10,BAR,145.96,1.05,0.039,0.0047,takeoff
11,BAV,467.54,3.01,0.152,0.0136,takeoff
12,BFJ,87.56,0.61,0.026,0.0028,takeoff
13,BHY,407.79,2.8,0.122,0.0121,takeoff
14,BPE,65.47,0.45,0.018,0.0021,takeoff
15,BPL,84.49,0.52,0.028,0.002,takeoff
16,BPX,81.94,0.42,0.035,0.001,takeoff
17,BSD,93.11,0.64,0.023,0.0029,takeoff
18,BZX,103.26,0.67,0.03,0.0029,takeoff
19,CAN,10727.82,76.24,2.864,0.2426,takeoff
20,CDE,65.97,0.51,0.015,0.0022,takeoff
21,CGD,175.42,1.2,0.052,0.005,takeoff
22,CGO,4529.99,31.94,1.125,0.1393,takeoff
23,CGQ,2785.13,20.17,0.73,0.0846,takeoff
24,CHG,26.87,0.13,0.012,0.0004,takeoff
25,CIF,387.94,2.42,0.131,0.0109,takeoff
26,CIH,139.56,1.01,0.037,0.0046,takeoff
27,CKG,7403.66,52.99,1.942,0.2096,takeoff
28,CQW,4.52,0.03,0.002,0.0001,takeoff
29,CSX,5342.01,38.57,1.357,0.1598,takeoff
30,CTU,5852.74,40.79,1.63,0.1096,takeoff
31,CWJ,38.06,0.26,0.009,0.0012,takeoff
32,CZX,817.05,5.84,0.232,0.0263,takeoff
33,DAT,206.55,1.43,0.063,0.0067,takeoff
34,DBC,47.46,0.3,0.013,0.0014,takeoff
35,DCY,40.43,0.21,0.017,0.0005,takeoff
